"","ageMonths",thetaEstimate,roarScore,standardScore,percentile
"171","73",-1,433,102,56
"172","73",-0.9,440,103,57
"173","73",-0.8,447,105,62
"174","73",-0.7,453,105,64
"175","73",-0.6,460,107,67
"176","73",-0.5,467,107,69
"177","73",-0.4,473,108,72
"178","73",-0.3,480,110,75
"179","73",-0.2,487,112,78
"180","73",-0.1,493,113,80
"181","73",0,500,114,82
"182","73",0.1,507,115,84
"183","73",0.2,513,116,86
"184","73",0.3,520,118,89
"185","73",0.4,527,119,90
"186","73",0.5,533,121,92
"187","73",0.6,540,122,93
"188","73",0.7,547,123,94
"189","73",0.8,553,125,95
"190","73",0.9,560,126,96
"191","73",1,567,128,97
"192","73",1.1,573,130,98
"193","73",1.2,580,131,98
"194","73",1.3,587,133,98
"195","73",1.4,593,135,99
"196","73",1.5,600,>135,>99
"197","73",1.6,607,>135,>99
"198","73",1.7,613,>135,>99
"199","73",1.8,620,>135,>99
"200","73",1.9,627,>135,>99
"201","73",2,633,>135,>99
"202","73",2.1,640,>135,>99
"203","73",2.2,647,>135,>99
"204","73",2.3,653,>135,>99
"205","73",2.4,660,>135,>99
"206","73",2.5,667,>135,>99
"207","73",2.6,673,>135,>99
"208","73",2.7,680,>135,>99
"209","73",2.8,687,>135,>99
"210","73",2.9,693,>135,>99
"211","73",3,700,>135,>99
"212","73",3.1,707,>135,>99
"213","73",3.2,713,>135,>99
"214","73",3.3,720,>135,>99
"215","73",3.4,727,>135,>99
"216","73",3.5,733,>135,>99
"217","73",3.6,740,>135,>99
"218","73",3.7,747,>135,>99
"219","73",3.8,753,>135,>99
"220","73",3.9,760,>135,>99
"221","73",4,767,>135,>99
"222","73",4.1,773,>135,>99
"223","73",4.2,780,>135,>99
"224","73",4.3,787,>135,>99
"225","73",4.4,793,>135,>99
"226","73",4.5,800,>135,>99
"227","74",-6.7,53,<65,<1
"228","74",-6.6,60,<65,<1
"229","74",-6.5,67,<65,<1
"230","74",-6.4,73,<65,<1
"231","74",-6.3,80,<65,<1
"232","74",-6.2,87,<65,<1
"233","74",-6.1,93,<65,<1
"234","74",-6,100,<65,<1
"235","74",-5.9,107,<65,<1
"236","74",-5.8,113,<65,<1
"237","74",-5.7,120,<65,<1
"238","74",-5.6,127,<65,<1
"239","74",-5.5,133,<65,<1
"240","74",-5.4,140,<65,<1
"241","74",-5.3,147,65,1
"242","74",-5.2,153,66,1
"243","74",-5.1,160,67,2
"244","74",-5,167,68,2
"245","74",-4.9,173,69,2
"246","74",-4.8,180,70,2
"247","74",-4.7,187,71,3
"248","74",-4.6,193,72,3
"249","74",-4.5,200,73,3
"250","74",-4.4,207,73,4
"251","74",-4.3,213,74,4
"252","74",-4.2,220,74,4
"253","74",-4.1,227,75,5
"254","74",-4,233,76,6
"255","74",-3.9,240,77,6
"256","74",-3.8,247,78,7
"257","74",-3.7,253,78,8
"258","74",-3.6,260,79,8
"259","74",-3.5,267,80,9
"260","74",-3.4,273,81,10
"261","74",-3.3,280,82,11
"262","74",-3.2,287,82,12
"263","74",-3.1,293,83,13
"264","74",-3,300,84,14
"265","74",-2.9,307,84,15
"266","74",-2.8,313,86,17
"267","74",-2.7,320,86,18
"268","74",-2.6,327,87,20
"269","74",-2.5,333,88,21
"270","74",-2.4,340,89,23
"271","74",-2.3,347,90,25
"272","74",-2.2,353,91,27
"273","74",-2.1,360,91,28
"274","74",-2,367,92,30
"275","74",-1.9,373,93,33
"276","74",-1.8,380,94,35
"277","74",-1.7,387,95,37
"278","74",-1.6,393,96,39
"279","74",-1.5,400,97,42
"280","74",-1.4,407,98,44
"281","74",-1.3,413,99,47
"282","74",-1.2,420,100,51
"283","74",-1.1,427,102,54
"284","74",-1,433,102,56
"285","74",-0.9,440,103,57
"286","74",-0.8,447,105,62
"287","74",-0.7,453,105,64
"288","74",-0.6,460,107,67
"289","74",-0.5,467,107,69
"290","74",-0.4,473,108,72
"291","74",-0.3,480,110,75
"292","74",-0.2,487,112,78
"293","74",-0.1,493,113,80
"294","74",0,500,114,82
"295","74",0.1,507,115,84
"296","74",0.2,513,116,86
"297","74",0.3,520,118,89
"298","74",0.4,527,119,90
"299","74",0.5,533,121,92
"300","74",0.6,540,122,93
"301","74",0.7,547,123,94
"302","74",0.8,553,125,95
"303","74",0.9,560,126,96
"304","74",1,567,128,97
"305","74",1.1,573,130,98
"306","74",1.2,580,131,98
"307","74",1.3,587,133,98
"308","74",1.4,593,135,99
"309","74",1.5,600,>135,>99
"310","74",1.6,607,>135,>99
"311","74",1.7,613,>135,>99
"312","74",1.8,620,>135,>99
"313","74",1.9,627,>135,>99
"314","74",2,633,>135,>99
"315","74",2.1,640,>135,>99
"316","74",2.2,647,>135,>99
"317","74",2.3,653,>135,>99
"318","74",2.4,660,>135,>99
"319","74",2.5,667,>135,>99
"320","74",2.6,673,>135,>99
"321","74",2.7,680,>135,>99
"322","74",2.8,687,>135,>99
"323","74",2.9,693,>135,>99
"324","74",3,700,>135,>99
"325","74",3.1,707,>135,>99
"326","74",3.2,713,>135,>99
"327","74",3.3,720,>135,>99
"328","74",3.4,727,>135,>99
"329","74",3.5,733,>135,>99
"330","74",3.6,740,>135,>99
"331","74",3.7,747,>135,>99
"332","74",3.8,753,>135,>99
"333","74",3.9,760,>135,>99
"334","74",4,767,>135,>99
"335","74",4.1,773,>135,>99
"336","74",4.2,780,>135,>99
"337","74",4.3,787,>135,>99
"338","74",4.4,793,>135,>99
"339","74",4.5,800,>135,>99
"340","75",-6.7,53,<65,<1
"341","75",-6.6,60,<65,<1
"342","75",-6.5,67,<65,<1
"343","75",-6.4,73,<65,<1
"344","75",-6.3,80,<65,<1
"345","75",-6.2,87,<65,<1
"346","75",-6.1,93,<65,<1
"347","75",-6,100,<65,<1
"348","75",-5.9,107,<65,<1
"349","75",-5.8,113,<65,<1
"350","75",-5.7,120,<65,<1
"351","75",-5.6,127,<65,<1
"352","75",-5.5,133,<65,<1
"353","75",-5.4,140,<65,<1
"354","75",-5.3,147,65,1
"355","75",-5.2,153,66,1
"356","75",-5.1,160,67,2
"357","75",-5,167,68,2
"358","75",-4.9,173,69,2
"359","75",-4.8,180,70,2
"360","75",-4.7,187,71,3
"361","75",-4.6,193,72,3
"362","75",-4.5,200,73,3
"363","75",-4.4,207,73,4
"364","75",-4.3,213,74,4
"365","75",-4.2,220,74,4
"366","75",-4.1,227,75,5
"367","75",-4,233,76,6
"368","75",-3.9,240,77,6
"369","75",-3.8,247,78,7
"370","75",-3.7,253,78,8
"371","75",-3.6,260,79,8
"372","75",-3.5,267,80,9
"373","75",-3.4,273,81,10
"374","75",-3.3,280,82,11
"375","75",-3.2,287,82,12
"376","75",-3.1,293,83,13
"377","75",-3,300,84,14
"378","75",-2.9,307,84,15
"379","75",-2.8,313,86,17
"380","75",-2.7,320,86,18
"381","75",-2.6,327,87,20
"382","75",-2.5,333,88,21
"383","75",-2.4,340,89,23
"384","75",-2.3,347,90,25
"385","75",-2.2,353,91,27
"386","75",-2.1,360,91,28
"387","75",-2,367,92,30
"388","75",-1.9,373,93,33
"389","75",-1.8,380,94,35
"390","75",-1.7,387,95,37
"391","75",-1.6,393,96,39
"392","75",-1.5,400,97,42
"393","75",-1.4,407,98,44
"394","75",-1.3,413,99,47
"395","75",-1.2,420,100,51
"396","75",-1.1,427,102,54
"397","75",-1,433,102,56
"398","75",-0.9,440,103,57
"399","75",-0.8,447,105,62
"400","75",-0.7,453,105,64
"401","75",-0.6,460,107,67
"402","75",-0.5,467,107,69
"403","75",-0.4,473,108,72
"404","75",-0.3,480,110,75
"405","75",-0.2,487,112,78
"406","75",-0.1,493,113,80
"407","75",0,500,114,82
"408","75",0.1,507,115,84
"409","75",0.2,513,116,86
