task,trial_type,trial_num,stim,stimAudioUrl,stimImageUrl,goal,goalAudioUrl,goalImageUrl,foil1,foilAudioUrl,foilImageUrl,foil2,foil2AudioUrl,foil2ImageUrl,quest,questUrl,instr,instrUrl,feedback_conf,feed1Url,feedback_foil1,feed2Url,feedback_foil2,feed3Url
practice,FSM,1,Katze,https://storage.googleapis.com/roar-pa-test/de/shared/Katze.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Katze.webp,Kind,https://storage.googleapis.com/roar-pa-test/de/shared/Kind.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Kind.webp,Wald,https://storage.googleapis.com/roar-pa-test/de/shared/Wald.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Wald.webp,Sonne,https://storage.googleapis.com/roar-pa-test/de/shared/Sonne.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Sonne.webp,ns_-001,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-001.mp3,ns_-027,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-027.mp3,ns_-007,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-007.mp3,ns_-009,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-009.mp3,ns_-010,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-010.mp3
practice,FSM,2,Rose,https://storage.googleapis.com/roar-pa-test/de/shared/Rose.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Rose.webp,Rad,https://storage.googleapis.com/roar-pa-test/de/shared/Rad.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Rad.webp,Buch,https://storage.googleapis.com/roar-pa-test/de/shared/Buch.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Buch.webp,Korb,https://storage.googleapis.com/roar-pa-test/de/shared/Korb.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Korb.webp,ns_-002,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-002.mp3,ns_-028,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-028.mp3,ns_-008,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-008.mp3,ns_-011,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-011.mp3,ns_-012,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-012.mp3
practice,LSM,1,Brot,https://storage.googleapis.com/roar-pa-test/de/shared/Brot.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Brot.webp,Elefant,https://storage.googleapis.com/roar-pa-test/de/shared/Elefant.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Elefant.webp,Kopf,https://storage.googleapis.com/roar-pa-test/de/shared/Kopf.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Kopf.webp,Blume,https://storage.googleapis.com/roar-pa-test/de/shared/Blume.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Blume.webp,ns_-003,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-003.mp3,ns_-054,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-054.mp3,ns_-013,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-013.mp3,ns_-015,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-015.mp3,ns_-016,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-016.mp3
practice,LSM,2,Vogel,https://storage.googleapis.com/roar-pa-test/de/shared/Vogel.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Vogel.webp,Ball,https://storage.googleapis.com/roar-pa-test/de/shared/Ball.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Ball.webp,Kind,https://storage.googleapis.com/roar-pa-test/de/shared/Kind.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Kind.webp,Erdnuss,https://storage.googleapis.com/roar-pa-test/de/shared/Erdnuss.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Erdnuss.webp,ns_-004,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-004.mp3,ns_-055,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-055.mp3,ns_-014,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-014.mp3,ns_-017,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-017.mp3,ns_-018,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-018.mp3
practice,DEL,1,(Fuss)ball,https://storage.googleapis.com/roar-pa-test/de/shared/Fussball.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Fussball.webp,Ball,https://storage.googleapis.com/roar-pa-test/de/shared/Ball.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Ball.webp,Fuss,https://storage.googleapis.com/roar-pa-test/de/shared/Fuss.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Fuss.webp,Fussball,https://storage.googleapis.com/roar-pa-test/de/shared/Fussball.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Fussball.webp,ns_-005,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-005.mp3,ns_-019,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-019.mp3,ns_-021,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-021.mp3,ns_-023,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-023.mp3,ns_-025,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-025.mp3
practice,DEL,2,Regen(bogen),https://storage.googleapis.com/roar-pa-test/de/shared/Regenbogen.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Regenbogen.webp,Regen,https://storage.googleapis.com/roar-pa-test/de/shared/Regen.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Regen.webp,Bogen,https://storage.googleapis.com/roar-pa-test/de/shared/Bogen.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Bogen.webp,Regenbogen,https://storage.googleapis.com/roar-pa-test/de/shared/Regenbogen.mp3,https://storage.googleapis.com/roar-pa-test/de/shared/Regenbogen.webp,ns_-006,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-006.mp3,ns_-020,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-020.mp3,ns_-022,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-022.mp3,ns_-024,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-024.mp3,ns_-026,https://storage.googleapis.com/roar-pa-test/de/shared/ns_-026.mp3
