target,distractor1,distractor2,distractor3,audioFile,audioUrl,corpusId,composite.a,composite.b,composite.c,composite.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d
i,o,x,w,iLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/iLongPhoneme.mp3,letterPhoneme,1.0,-3.25539957807865,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-3.25539957807865,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
o,a,v,y,oLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/oLongPhoneme.mp3,letterPhoneme,1.0,-3.74218989698959,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-3.74218989698959,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
u,i,g,z,uLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/uLongPhoneme.mp3,letterPhoneme,1.0,-2.54012692331155,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.54012692331155,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
b,e,h,l,bPhoneme,https://storage.googleapis.com/roar-ak/en/shared/bPhoneme.mp3,letterPhoneme,1.0,-2.29638665735511,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.29638665735511,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
c,i,t,g,cSoftPhoneme,https://storage.googleapis.com/roar-ak/en/shared/cSoftPhoneme.mp3,letterPhoneme,1.0,-0.838522315168069,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-0.838522315168069,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
c,e,j,p,cHardPhoneme,https://storage.googleapis.com/roar-ak/en/shared/cHardPhoneme.mp3,letterPhoneme,1.0,-1.9054847841226,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.9054847841226,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
d,a,k,h,dPhoneme,https://storage.googleapis.com/roar-ak/en/shared/dPhoneme.mp3,letterPhoneme,1.0,-2.76449687672675,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.76449687672675,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
f,u,r,g,fPhoneme,https://storage.googleapis.com/roar-ak/en/shared/fPhoneme.mp3,letterPhoneme,1.0,-1.49951967921461,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.49951967921461,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
g,i,n,s,gSoftPhoneme,https://storage.googleapis.com/roar-ak/en/shared/gSoftPhoneme.mp3,letterPhoneme,1.0,-2.01921400939046,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.01921400939046,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
g,e,l,k,gHardPhoneme,https://storage.googleapis.com/roar-ak/en/shared/gHardPhoneme.mp3,letterPhoneme,1.0,-2.26910248592849,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.26910248592849,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
h,o,m,t,hPhoneme,https://storage.googleapis.com/roar-ak/en/shared/hPhoneme.mp3,letterPhoneme,1.0,-2.00252013281342,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.00252013281342,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
