,word,b_i,realpseudo,block,order,log_difficulty
227,begin,-1.45027267492067,real,C,34,1.9777923615864454
228,through,-1.42865753395837,real,C,28,1.9747968979113222
229,garden,-1.41985004469142,real,C,20,1.973573763174524
230,complete,-1.40750245578096,real,C,25,1.9718564764296178
231,sick,-1.23726408121291,real,C,11,1.9478743145614172
232,pretty,-1.15925385482365,real,C,15,1.9366895473490509
233,history,-1.01154777178084,real,C,26,1.9151631771611288
234,imagine,-0.93571388763141,real,C,9,1.9039286248941358
235,question,-0.877888434391202,real,C,31,1.895276339923072
236,spy,-0.738779696656293,real,C,35,1.8741499242681747
237,distance,-0.611179339294359,real,C,14,1.8543708108413635
238,agreed,-0.550295904811283,real,C,23,1.8447937088086424
239,chance,-0.454713520290659,real,C,18,1.8295708739515502
240,compliment,-0.286861200639263,real,C,27,1.8022640671771106
241,investigate,-0.214174662906308,real,C,13,1.7902038017867838
242,contain,0.209859353650455,real,C,7,1.716791502958464
243,grasshopper,0.214735258138079,real,C,19,1.7159152038183774
244,lame,0.290449840888979,real,C,12,1.7022082783850172
245,gravel,0.369477396091316,real,C,8,1.6876983299214825
246,overwhelm,0.521266228898128,real,C,36,1.6592242203043885
247,an,0.93659557498352,real,C,33,1.576894682098574
248,configuration,1.36799281720689,real,C,32,1.483535804782906
249,qualify,1.4182447578734,real,C,21,1.4720714796892311
250,appropriates,2.12772963051671,real,C,38,1.2943898390533357
251,garment,2.36335592911203,real,C,37,1.2276334680179646
