"pages/home-selector.inactivityLogout","inactivityLogout","You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","Pronto se cerrará la sesión por razones de seguridad. Por favor haga clic en ""Continuar"" si desea continuar su sesión. Si no, la sesión se cerrará automáticamente en {timeLeft} segundos.","Sie werden aus Sicherheitsgründen bald abgemeldet. Bitte klicken Sie auf ""Weiter"", wenn Sie Ihre Sitzung fortsetzen möchten. \n Andernfalls werden Sie in { timeLeft } Sekunden automatisch abgemeldet.","","","You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","",""
"pages/home-selector.inactivityLogoutAcceptLabel","inactivityLogoutAcceptLabel","Continue","Continuar","Fortsetzen","","","Continue","",""
"pages/home-selector.loading","loading","Loading...","Cargando...","Laden...","","","Loading...","",""
"pages/not-found.label","label","Return to Home","Volver a la página principal","Klicken Sie hier, um zur Startseite zu gelangen","","","Return to Home","",""
"pages/not-found.pageNotFound","pageNotFound","Page not found","Página no encontrada","Seite nicht gefunden","","","Page not found","",""
"pages/not-found.sorry","sorry","Sorry, we could not find that page!","Lo siento, ¡no pudimos encontrar esa página!","Entschuldigung, wir konnten diese Seite nicht finden!","","","Sorry, we could not find that page!","",""
"pages/signin.adminAction","adminAction","here","aquí","hier","","","here","",""
"pages/signin.adminInfoPrompt","adminInfoPrompt","If you registered with a Google email or your email provider uses Google SSO.","Si te registraste con un correo de Google o si tu proveedor de correo utiliza Google SSO.","Wenn Sie sich mit einer Google-E-Mail oder Ihr E-Mail-Anbieter Google SSO verwendet, registriert haben.","","","If you registered with a Google email or your email provider uses Google SSO.","",""
"pages/signin.adminPrompt","adminPrompt","Are you an Admin? Click {action} to Sign in.","¿Eres un Administrador? Haz clic {action} para Iniciar sesión.","Sind Sie ein Administrator? Klicken Sie {action}, um sich anzumelden.","","","Are you an Admin? Click {action} to Sign in.","",""
"pages/signin.havingTrouble","havingTrouble","Having trouble?","¿Tienes problemas?","Haben Sie Schwierigkeiten?","","","Having trouble?","",""
"pages/signin.login","login","Log in to access your dashboard","Inicia sesión para acceder a tu panel de control","Melden Sie sich an, um auf Ihr Dashboard zuzugreifen","","","Log in to access your dashboard","",""
"pages/signin.loginWith","loginWith","Log in with","Iniciar sesión con","Anmelden mit","","","Log in with","",""
"pages/signin.welcome","welcome","Welcome to ROAR!","¡Bienvenido a ROAR!","Willkommen bei ROAR!","","","Welcome to ROAR!","",""
"surveys/user-survey.specificRelationDescriptionChildA","specificRelationDescriptionChildA","For child with Birth Month","Para el niño con Mes de Nacimiento","Für Kind mit Geburtsmonat","","","For child with Birth Month","",""
"surveys/user-survey.specificRelationDescriptionChildB","specificRelationDescriptionChildB","and Birth Year","y Año de Nacimiento","und Geburtsjahr","","","and Birth Year","",""
"surveys/user-survey.specificRelationDescriptionClass","specificRelationDescriptionClass","For class","Para la clase","Für Klasse","","","For class","",""
