task,trial_type,trial_num,stim,stimAudioUrl,stimImageUrl,goal,goalAudioUrl,goalImageUrl,foil1,foilAudioUrl,foilImageUrl,foil2,foil2AudioUrl,foil2ImageUrl,quest,questUrl,instr,instrUrl,feedback_conf,feed1Url,feedback_foil1,feed2Url,feedback_foil2,feed3Url
practice,FSM,1,blusa,https://storage.googleapis.com/roar-pa/pt/shared/blusa.mp3,https://storage.googleapis.com/roar-pa/pt/shared/blusa.png,bola,https://storage.googleapis.com/roar-pa/pt/shared/bola.mp3,https://storage.googleapis.com/roar-pa/pt/shared/bola.png,prato,https://storage.googleapis.com/roar-pa/pt/shared/prato.mp3,https://storage.googleapis.com/roar-pa/pt/shared/prato.png,fruta,https://storage.googleapis.com/roar-pa/pt/shared/fruta.mp3,https://storage.googleapis.com/roar-pa/pt/shared/fruta.png,ns_-001,https://storage.googleapis.com/roar-pa/pt/shared/ns_-001.mp3,ns_-007,https://storage.googleapis.com/roar-pa/pt/shared/ns_-007.mp3,ns_-013,https://storage.googleapis.com/roar-pa/pt/shared/ns_-013.mp3,ns_-019,https://storage.googleapis.com/roar-pa/pt/shared/ns_-019.mp3,ns_-025,https://storage.googleapis.com/roar-pa/pt/shared/ns_-025.mp3
practice,FSM,2,rato,https://storage.googleapis.com/roar-pa/pt/shared/rato.mp3,https://storage.googleapis.com/roar-pa/pt/shared/rato.png,roda,https://storage.googleapis.com/roar-pa/pt/shared/roda.mp3,https://storage.googleapis.com/roar-pa/pt/shared/roda.png,gato,https://storage.googleapis.com/roar-pa/pt/shared/gato.mp3,https://storage.googleapis.com/roar-pa/pt/shared/gato.png,carro,https://storage.googleapis.com/roar-pa/pt/shared/carro.mp3,https://storage.googleapis.com/roar-pa/pt/shared/carro.png,ns_-002,https://storage.googleapis.com/roar-pa/pt/shared/ns_-002.mp3,ns_-008,https://storage.googleapis.com/roar-pa/pt/shared/ns_-008.mp3,ns_-014,https://storage.googleapis.com/roar-pa/pt/shared/ns_-014.mp3,ns_-020,https://storage.googleapis.com/roar-pa/pt/shared/ns_-020.mp3,ns_-026,https://storage.googleapis.com/roar-pa/pt/shared/ns_-026.mp3
practice,LSM,1,janela,https://storage.googleapis.com/roar-pa/pt/shared/janela.mp3,https://storage.googleapis.com/roar-pa/pt/shared/janela.png,banana,https://storage.googleapis.com/roar-pa/pt/shared/banana.mp3,https://storage.googleapis.com/roar-pa/pt/shared/banana.png,magro,https://storage.googleapis.com/roar-pa/pt/shared/magro.mp3,https://storage.googleapis.com/roar-pa/pt/shared/magro.png,grade,https://storage.googleapis.com/roar-pa/pt/shared/grade.mp3,https://storage.googleapis.com/roar-pa/pt/shared/grade.png,ns_-003,https://storage.googleapis.com/roar-pa/pt/shared/ns_-003.mp3,ns_-009,https://storage.googleapis.com/roar-pa/pt/shared/ns_-009.mp3,ns_-015,https://storage.googleapis.com/roar-pa/pt/shared/ns_-015.mp3,ns_-021,https://storage.googleapis.com/roar-pa/pt/shared/ns_-021.mp3,ns_-027,https://storage.googleapis.com/roar-pa/pt/shared/ns_-027.mp3
practice,LSM,2,relogio,https://storage.googleapis.com/roar-pa/pt/shared/relogio.mp3,https://storage.googleapis.com/roar-pa/pt/shared/relogio.png,dinheiro,https://storage.googleapis.com/roar-pa/pt/shared/dinheiro.mp3,https://storage.googleapis.com/roar-pa/pt/shared/dinheiro.png,despertador,https://storage.googleapis.com/roar-pa/pt/shared/despertador.mp3,https://storage.googleapis.com/roar-pa/pt/shared/despertador.png,cadeira,https://storage.googleapis.com/roar-pa/pt/shared/cadeira.mp3,https://storage.googleapis.com/roar-pa/pt/shared/cadeira.png,ns_-004,https://storage.googleapis.com/roar-pa/pt/shared/ns_-004.mp3,ns_-010,https://storage.googleapis.com/roar-pa/pt/shared/ns_-010.mp3,ns_-016,https://storage.googleapis.com/roar-pa/pt/shared/ns_-016.mp3,ns_-022,https://storage.googleapis.com/roar-pa/pt/shared/ns_-022.mp3,ns_-028,https://storage.googleapis.com/roar-pa/pt/shared/ns_-028.mp3
practice,DEL,1,(li)mao,https://storage.googleapis.com/roar-pa/pt/shared/limao.mp3,https://storage.googleapis.com/roar-pa/pt/shared/limao.png,mao,https://storage.googleapis.com/roar-pa/pt/shared/mao.mp3,https://storage.googleapis.com/roar-pa/pt/shared/mao.png,licao,https://storage.googleapis.com/roar-pa/pt/shared/licao.mp3,https://storage.googleapis.com/roar-pa/pt/shared/licao.png,limao,https://storage.googleapis.com/roar-pa/pt/shared/limao.mp3,https://storage.googleapis.com/roar-pa/pt/shared/limao.png,ns_-005,https://storage.googleapis.com/roar-pa/pt/shared/ns_-005.mp3,NA,,ns_-017,https://storage.googleapis.com/roar-pa/pt/shared/ns_-017.mp3,ns_-023,https://storage.googleapis.com/roar-pa/pt/shared/ns_-023.mp3,ns_-029,https://storage.googleapis.com/roar-pa/pt/shared/ns_-029.mp3
practice,DEL,2,la(r),https://storage.googleapis.com/roar-pa/pt/shared/lar.mp3,https://storage.googleapis.com/roar-pa/pt/shared/lar.png,la1,https://storage.googleapis.com/roar-pa/pt/shared/la1.mp3,https://storage.googleapis.com/roar-pa/pt/shared/la1.png,le,https://storage.googleapis.com/roar-pa/pt/shared/le.mp3,https://storage.googleapis.com/roar-pa/pt/shared/le.png,lar,https://storage.googleapis.com/roar-pa/pt/shared/lar.mp3,https://storage.googleapis.com/roar-pa/pt/shared/lar.png,ns_-006,https://storage.googleapis.com/roar-pa/pt/shared/ns_-006.mp3,NA,,ns_-018,https://storage.googleapis.com/roar-pa/pt/shared/ns_-018.mp3,ns_-024,https://storage.googleapis.com/roar-pa/pt/shared/ns_-024.mp3,ns_-030,https://storage.googleapis.com/roar-pa/pt/shared/ns_-030.mp3
