target,distractor1,distractor2,distractor3,audioFile,audioUrl,composite.a,composite.b,composite.c,composite.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,corpusId
B,P,R,I,bLetter,https://storage.googleapis.com/roar-ak/it/shared/bLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
C,Q,G,R,cLetter,https://storage.googleapis.com/roar-ak/it/shared/cLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
D,T,O,S,dLetter,https://storage.googleapis.com/roar-ak/it/shared/dLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
E,I,F,Z,eLetter,https://storage.googleapis.com/roar-ak/it/shared/eLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
F,V,T,L,fLetter,https://storage.googleapis.com/roar-ak/it/shared/fLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
G,D,C,U,gLetter,https://storage.googleapis.com/roar-ak/it/shared/gLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
H,A,N,P,hLetter,https://storage.googleapis.com/roar-ak/it/shared/hLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
I,E,L,Z,iLetter,https://storage.googleapis.com/roar-ak/it/shared/iLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
L,M,T,A,lLetter,https://storage.googleapis.com/roar-ak/it/shared/lLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
M,N,H,P,mLetter,https://storage.googleapis.com/roar-ak/it/shared/mLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
N,M,H,G,nLetter,https://storage.googleapis.com/roar-ak/it/shared/nLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
O,U,D,G,oLetter,https://storage.googleapis.com/roar-ak/it/shared/oLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
P,B,F,C,pLetter,https://storage.googleapis.com/roar-ak/it/shared/pLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
Q,C,O,M,qLetter,https://storage.googleapis.com/roar-ak/it/shared/qLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
R,S,B,E,rLetter,https://storage.googleapis.com/roar-ak/it/shared/rLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
