word,a,b,c,d,corpusId,realpseudo
terre,1,-0.262148643193975,0.5,1,spanish-core,pseudo
tranquilo,1,-0.633975444813734,0.5,1,spanish-random,real
treste,1,0.0139170410938576,0.5,1,spanish-core,pseudo
triste,1,-1.70679654231861,0.5,1,spanish-core,real
avión,1,-1.54030289789905,0.5,1,spanish-random,real
baño,1,-2.36347538179527,0.5,1,spanish-random,real
braño,1,-0.169602675877285,0.5,1,spanish-random,pseudo
corabacionismo,1,0.85063426202365,0.5,1,spanish-random,pseudo
corazón,1,-1.81825838672406,0.5,1,spanish-random,real
divertido,1,-1.1647510268386,0.5,1,spanish-random,real
felce,1,-0.707124507435443,0.5,1,spanish-random,pseudo
gioxémico,1,0.694965029668064,0.5,1,spanish-random,pseudo
adullido,1,0.326522005177154,0.5,1,spanish-random,pseudo
agua,1,-2.12659134459178,0.5,1,spanish-random,real
aplander,1,0.275229158841101,0.5,1,spanish-random,pseudo
autobús,1,-0.241401056807313,0.5,1,spanish-random,real
bajo,1,-1.40570606572027,0.5,1,spanish-random,real
biciséntrico,1,1.21350106423285,0.5,1,spanish-random,pseudo
brazo,1,-1.05288426607666,0.5,1,spanish-random,real
carle,1,-0.166361620133807,0.5,1,spanish-random,pseudo
chocolate,1,-1.56805893182202,0.5,1,spanish-random,real
codida,1,-0.437299948412498,0.5,1,spanish-random,pseudo
dibujar,1,-1.65474980269241,0.5,1,spanish-random,real
dulce,1,-1.76132621907983,0.5,1,spanish-random,real
ejo,1,-0.765724904528643,0.5,1,spanish-random,pseudo
esquimalón,1,0.461267421403296,0.5,1,spanish-random,pseudo
flave,1,-0.377322933648092,0.5,1,spanish-random,pseudo
fácil,1,-1.5057989262026,0.5,1,spanish-random,real
glanco,1,-0.0976406108495499,0.5,1,spanish-random,pseudo
guindel,1,-0.416385521648048,0.5,1,spanish-random,pseudo
hablar,1,-1.49978142082688,0.5,1,spanish-random,real
lapándulo,1,-0.0792944418041995,0.5,1,spanish-random,pseudo
león,1,-1.95613445013251,0.5,1,spanish-random,real
loón,1,-0.862607367690479,0.5,1,spanish-random,pseudo
mano,1,-2.05866432947025,0.5,1,spanish-random,real
nuejo,1,-0.396705756115876,0.5,1,spanish-random,pseudo
pabel,1,-0.0699468881784486,0.5,1,spanish-random,pseudo
padre,1,-1.47218046405017,0.5,1,spanish-random,real
papel,1,-1.96422637417355,0.5,1,spanish-random,real
paraguas,1,0.353612486787165,0.5,1,spanish-random,real
puedardo,1,0.36817806191146,0.5,1,spanish-random,pseudo
retegración,1,1.36551113561467,0.5,1,spanish-random,pseudo
rovo,1,1.38482486322401,0.5,1,spanish-random,pseudo
salado,1,-0.438811786748746,0.5,1,spanish-random,real
suape,1,-0.493614739587342,0.5,1,spanish-random,pseudo
suntrero,1,0.119293662704592,0.5,1,spanish-random,pseudo
té,1,-0.241691207911548,0.5,1,spanish-random,real
vacaciones,1,-0.670687124460815,0.5,1,spanish-random,real
venrumano,1,-0.159433841958224,0.5,1,spanish-random,pseudo
vísulumbar,1,0.680941378963855,0.5,1,spanish-random,pseudo
agum,1,-1.29126412431347,0.5,1,spanish-random,pseudo
alto,1,-1.93057934531736,0.5,1,spanish-random,real
amarillo,1,-1.67990294903585,0.5,1,spanish-random,real
amdo,1,-0.497956172710364,0.5,1,spanish-random,pseudo
asarzo,1,-0.52443322771318,0.5,1,spanish-random,pseudo
birdar,1,0.137484599536407,0.5,1,spanish-random,pseudo
cacisa,1,-0.142752164445816,0.5,1,spanish-random,pseudo
cazar,1,-0.360486984655343,0.5,1,spanish-random,real
cocina,1,-1.41774260157332,0.5,1,spanish-random,real
cráxido,1,-0.335036276504336,0.5,1,spanish-random,pseudo
dentista,1,0.380368575792603,0.5,1,spanish-random,real
dormir,1,-1.67793135118654,0.5,1,spanish-random,real
emocionado,1,-0.422668016099086,0.5,1,spanish-random,real
estudioso,1,-1.01670119526429,0.5,1,spanish-random,real
formir,1,-0.457288853742191,0.5,1,spanish-random,pseudo
hadrar,1,0.189479738094504,0.5,1,spanish-random,pseudo
hufánzico,1,-0.454460629174822,0.5,1,spanish-random,pseudo
lajar,1,0.0453254992266936,0.5,1,spanish-random,pseudo
leer,1,-1.76043206309385,0.5,1,spanish-random,real
mestar,1,-0.405109673227707,0.5,1,spanish-random,pseudo
montaña,1,-1.83128415272292,0.5,1,spanish-random,real
niño,1,-2.28897384929095,0.5,1,spanish-random,real
oreja,1,-0.840257697514736,0.5,1,spanish-random,real
pelota,1,-1.30700820367755,0.5,1,spanish-random,real
pentor,1,-0.46890837136276,0.5,1,spanish-random,pseudo
policía,1,-1.85782433660264,0.5,1,spanish-random,real
postre,1,-0.859469756258735,0.5,1,spanish-random,real
projesor,1,0.398350853083503,0.5,1,spanish-random,pseudo
quezco,1,-0.435263021405631,0.5,1,spanish-random,pseudo
refigelante,1,2.55717457206511,0.5,1,spanish-random,pseudo
refresco,1,-0.477079934104367,0.5,1,spanish-random,real
rianda,1,0.596364114577938,0.5,1,spanish-random,pseudo
rinocorón,1,0.541744578288594,0.5,1,spanish-random,pseudo
tienda,1,-1.72902735607525,0.5,1,spanish-random,real
tío,1,-1.85934041935222,0.5,1,spanish-random,real
asostado,1,1.6870288529079,0.5,1,spanish-random,pseudo
bler,1,-0.783422416790442,0.5,1,spanish-random,pseudo
cabeza,1,-1.94659876538337,0.5,1,spanish-random,real
carro,1,-1.84364806635443,0.5,1,spanish-random,real
chasquídeo,1,1.85237248486484,0.5,1,spanish-random,pseudo
contento,1,-0.830052260100635,0.5,1,spanish-random,real
cuerpo,1,-1.51056005956009,0.5,1,spanish-random,real
dicnororia,1,0.342919676288865,0.5,1,spanish-random,pseudo
estirquinamiento,1,0.74694952583107,0.5,1,spanish-random,pseudo
falleta,1,0.143826777047186,0.5,1,spanish-random,pseudo
heo,1,-0.642833410549686,0.5,1,spanish-random,pseudo
juego,1,-2.13361699191514,0.5,1,spanish-random,real
larlo,1,0.0661515675651791,0.5,1,spanish-random,pseudo
pendal,1,0.244182396184367,0.5,1,spanish-random,pseudo
pequeño,1,-1.7523907115071,0.5,1,spanish-random,real
pintor,1,-1.55365589181685,0.5,1,spanish-random,real
tombero,1,0.199295064655249,0.5,1,spanish-random,pseudo
tsotno,1,-1.12336131495829,0.5,1,spanish-random,pseudo
vestido,1,-1.62620172540022,0.5,1,spanish-random,real
viajar,1,-1.7653657464337,0.5,1,spanish-random,real
wiego,1,-1.0271634713187,0.5,1,spanish-random,pseudo
xalofón,1,1.27915296808856,0.5,1,spanish-random,pseudo
amigo,1,-2.03445854370864,0.5,1,spanish-random,real
bafo,1,-0.608363303317899,0.5,1,spanish-random,pseudo
bicicleta,1,-0.778351936393048,0.5,1,spanish-random,real
biolarín,1,0.354303788637461,0.5,1,spanish-random,pseudo
boca,1,-2.3664666454846,0.5,1,spanish-random,real
casa,1,-2.09611940740811,0.5,1,spanish-random,real
cuerzo,1,1.03084282777089,0.5,1,spanish-random,pseudo
desaypnar,1,0.588140968482982,0.5,1,spanish-random,pseudo
duro,1,-1.2652240803243,0.5,1,spanish-random,real
escurrar,1,1.011125601835,0.5,1,spanish-random,pseudo
guitacha,1,0.14649322287266,0.5,1,spanish-random,pseudo
helado,1,-2.00271403945689,0.5,1,spanish-random,real
huista,1,-0.194766255928937,0.5,1,spanish-random,pseudo
intecigente,1,0.868731138903111,0.5,1,spanish-random,pseudo
lópiz,1,-0.131788764720646,0.5,1,spanish-random,pseudo
mesa,1,-1.74221708731944,0.5,1,spanish-random,real
nupe,1,-1.02254619917555,0.5,1,spanish-random,pseudo
pionar,1,0.37951423807106,0.5,1,spanish-random,pseudo
replesco,1,0.289961625268793,0.5,1,spanish-random,pseudo
silla,1,-1.24020208990532,0.5,1,spanish-random,real
suave,1,-0.776077204855584,0.5,1,spanish-random,real
verduras,1,-0.679614252566201,0.5,1,spanish-random,real
abierto,1,-1.58741215941433,0.5,1,spanish-random,real
acar,1,-0.659173744738849,0.5,1,spanish-random,pseudo
aprender,1,-1.22278093558463,0.5,1,spanish-random,real
casuállico,1,1.06177187698282,0.5,1,spanish-random,pseudo
caveja,1,-0.166371402233434,0.5,1,spanish-random,pseudo
cevillar,1,0.419110819442014,0.5,1,spanish-random,pseudo
coencidentalismo,1,0.791255449476384,0.5,1,spanish-random,pseudo
cominar,1,2.61958554019867,0.5,1,spanish-random,pseudo
difícel,1,0.822894350106799,0.5,1,spanish-random,pseudo
encontrar,1,-0.834673007015417,0.5,1,spanish-random,real
gacaosa,1,-0.143251046055404,0.5,1,spanish-random,pseudo
inteligente,1,-0.709719289114958,0.5,1,spanish-random,real
interesante,1,0.109857067352293,0.5,1,spanish-random,real
juguico,1,0.0858845463894346,0.5,1,spanish-random,pseudo
llave,1,-1.52527154932312,0.5,1,spanish-random,real
merro,1,-0.956153612305202,0.5,1,spanish-random,pseudo
májaro,1,-0.253873852189988,0.5,1,spanish-random,pseudo
nadar,1,-1.91540408660585,0.5,1,spanish-random,real
pable,1,-0.280992787592343,0.5,1,spanish-random,pseudo
pierna,1,-1.02747319284412,0.5,1,spanish-random,real
sala,1,-0.863107672930322,0.5,1,spanish-random,real
sombrero,1,-0.934022223424086,0.5,1,spanish-random,real
sopa,1,-1.76238967993287,0.5,1,spanish-random,real
beper,1,-0.509437780601626,0.5,1,spanish-random,pseudo
bonito,1,-1.85217445455203,0.5,1,spanish-random,real
ciddad,1,0.0414303515493521,0.5,1,spanish-random,pseudo
cruta,1,-0.254286633169726,0.5,1,spanish-random,pseudo
elefante,1,-1.33308728956243,0.5,1,spanish-random,real
lección,1,-0.42133020310602,0.5,1,spanish-random,real
mada,1,-0.169453297548697,0.5,1,spanish-random,pseudo
música,1,-2.07302610975262,0.5,1,spanish-random,real
ratón,1,-1.56141719445631,0.5,1,spanish-random,real
rúo,1,-0.629404593796138,0.5,1,spanish-random,pseudo
sachoso,1,0.510231067647548,0.5,1,spanish-random,pseudo
tigre,1,-1.55132628573159,0.5,1,spanish-random,real
vibrería,1,1.22138611508534,0.5,1,spanish-random,pseudo
bailarín,1,0.184671564353578,0.5,1,spanish-random,real
bango,1,0.85391048096362,0.5,1,spanish-random,pseudo
beda,1,-0.277815736586894,0.5,1,spanish-random,pseudo
buscar,1,-2.10150011483856,0.5,1,spanish-random,real
castante,1,1.42403761768217,0.5,1,spanish-random,pseudo
dy,1,-0.682933074641517,0.5,1,spanish-random,pseudo
etocionado,1,0.0690510323690516,0.5,1,spanish-random,pseudo
lezígro,1,-0.200563984287373,0.5,1,spanish-random,pseudo
mochila,1,-0.829803064524284,0.5,1,spanish-random,real
nacar,1,0.0386388214959211,0.5,1,spanish-random,pseudo
película,1,-1.30780279318067,0.5,1,spanish-random,real
