target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId
a,u,y,g,aShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/aShortPhoneme.mp3,1,0,0.25,1,letterPhoneme
e,u,r,c,eShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/eShortPhoneme.mp3,1,0,0.25,1,letterPhoneme
i,u,r,j,iShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/iShortPhoneme.mp3,1,0,0.25,1,letterPhoneme
o,e,b,h,oShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/oShortPhoneme.mp3,1,0,0.25,1,letterPhoneme
u,e,h,f,uShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/uShortPhoneme.mp3,1,0,0.25,1,letterPhoneme
a,o,m,w,aLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/aLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
e,i,v,w,eLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/eLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
i,o,x,w,iLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/iLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
o,a,v,y,oLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/oLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
u,i,g,z,uLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/uLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
b,e,h,l,bPhoneme,https://storage.googleapis.com/roar-ak/en/shared/bPhoneme.mp3,1,0,0.25,1,letterPhoneme
c,i,t,g,cSoftPhoneme,https://storage.googleapis.com/roar-ak/en/shared/cSoftPhoneme.mp3,1,0,0.25,1,letterPhoneme
c,e,j,p,cHardPhoneme,https://storage.googleapis.com/roar-ak/en/shared/cHardPhoneme.mp3,1,0,0.25,1,letterPhoneme
d,a,k,h,dPhoneme,https://storage.googleapis.com/roar-ak/en/shared/dPhoneme.mp3,1,0,0.25,1,letterPhoneme
f,u,r,g,fPhoneme,https://storage.googleapis.com/roar-ak/en/shared/fPhoneme.mp3,1,0,0.25,1,letterPhoneme
g,i,n,s,gSoftPhoneme,https://storage.googleapis.com/roar-ak/en/shared/gSoftPhoneme.mp3,1,0,0.25,1,letterPhoneme
g,e,l,k,gHardPhoneme,https://storage.googleapis.com/roar-ak/en/shared/gHardPhoneme.mp3,1,0,0.25,1,letterPhoneme
h,o,m,t,hPhoneme,https://storage.googleapis.com/roar-ak/en/shared/hPhoneme.mp3,1,0,0.25,1,letterPhoneme
j,i,m,b,jPhoneme,https://storage.googleapis.com/roar-ak/en/shared/jPhoneme.mp3,1,0,0.25,1,letterPhoneme
k,a,s,w,kPhoneme,https://storage.googleapis.com/roar-ak/en/shared/kPhoneme.mp3,1,0,0.25,1,letterPhoneme
l,e,b,f,lPhoneme,https://storage.googleapis.com/roar-ak/en/shared/lPhoneme.mp3,1,0,0.25,1,letterPhoneme
m,i,t,p,mPhoneme,https://storage.googleapis.com/roar-ak/en/shared/mPhoneme.mp3,1,0,0.25,1,letterPhoneme
n,o,z,d,nPhoneme,https://storage.googleapis.com/roar-ak/en/shared/nPhoneme.mp3,1,0,0.25,1,letterPhoneme
p,i,g,t,pPhoneme,https://storage.googleapis.com/roar-ak/en/shared/pPhoneme.mp3,1,0,0.25,1,letterPhoneme
r,u,s,m,rPhoneme,https://storage.googleapis.com/roar-ak/en/shared/rPhoneme.mp3,1,0,0.25,1,letterPhoneme
s,e,m,p,sPhoneme,https://storage.googleapis.com/roar-ak/en/shared/sPhoneme.mp3,1,0,0.25,1,letterPhoneme
t,a,r,m,tPhoneme,https://storage.googleapis.com/roar-ak/en/shared/tPhoneme.mp3,1,0,0.25,1,letterPhoneme
v,o,j,r,vPhoneme,https://storage.googleapis.com/roar-ak/en/shared/vPhoneme.mp3,1,0,0.25,1,letterPhoneme
w,u,m,l,wPhoneme,https://storage.googleapis.com/roar-ak/en/shared/wPhoneme.mp3,1,0,0.25,1,letterPhoneme
x,e,d,h,xPhoneme,https://storage.googleapis.com/roar-ak/en/shared/xPhoneme.mp3,1,0,0.25,1,letterPhoneme
y,o,k,r,yPhoneme,https://storage.googleapis.com/roar-ak/en/shared/yPhoneme.mp3,1,0,0.25,1,letterPhoneme
z,u,l,t,zPhoneme,https://storage.googleapis.com/roar-ak/en/shared/zPhoneme.mp3,1,0,0.25,1,letterPhoneme
ch,oo,ck,qu,chPhoneme,https://storage.googleapis.com/roar-ak/en/shared/chPhoneme.mp3,1,0,0.25,1,letterPhoneme
sh,qu,ck,ch,shPhoneme,https://storage.googleapis.com/roar-ak/en/shared/shPhoneme.mp3,1,0,0.25,1,letterPhoneme
th,ck,ch,qu,thUnvoicedPhoneme,https://storage.googleapis.com/roar-ak/en/shared/thUnvoicedPhoneme.mp3,1,0,0.25,1,letterPhoneme
qu,th,ch,sh,quPhoneme,https://storage.googleapis.com/roar-ak/en/shared/quPhoneme.mp3,1,0,0.25,1,letterPhoneme
oo,th,ch,sh,ooShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/ooShortPhoneme.mp3,1,0,0.25,1,letterPhoneme
oo,ck,sh,th,ooLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/ooLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
