target,distractor1,distractor2,distractor3,audioFile,audioUrl,corpusId,composite.a,composite.b,composite.c,composite.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d
t,d,r,f,tLetter,https://storage.googleapis.com/roar-ak/en/shared/tLetter.mp3,letterNamePractice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.70649604684216,0.25,1.0,NA,NA,NA,NA
o,g,p,j,oLetter,https://storage.googleapis.com/roar-ak/en/shared/oLetter.mp3,letterNamePractice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-3.34467311726424,0.25,1.0,NA,NA,NA,NA
a,u,w,m,aLetter,https://storage.googleapis.com/roar-ak/en/shared/aLetter.mp3,letterNameLower,1.0,-2.9931296345528,0.25,1.0,NA,NA,NA,NA,1.0,-2.9931296345528,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b,o,l,h,bLetter,https://storage.googleapis.com/roar-ak/en/shared/bLetter.mp3,letterNameLower,1.0,-2.60514221797918,0.25,1.0,NA,NA,NA,NA,1.0,-2.60514221797918,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c,u,r,l,cLetter,https://storage.googleapis.com/roar-ak/en/shared/cLetter.mp3,letterNameLower,1.0,-2.84396167488376,0.25,1.0,NA,NA,NA,NA,1.0,-2.84396167488376,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d,a,j,f,dLetter,https://storage.googleapis.com/roar-ak/en/shared/dLetter.mp3,letterNameLower,1.0,-2.53455780011214,0.25,1.0,NA,NA,NA,NA,1.0,-2.53455780011214,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e,u,d,z,eLetter,https://storage.googleapis.com/roar-ak/en/shared/eLetter.mp3,letterNameLower,1.0,-2.06856529937802,0.25,1.0,NA,NA,NA,NA,1.0,-2.06856529937802,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f,o,p,q,fLetter,https://storage.googleapis.com/roar-ak/en/shared/fLetter.mp3,letterNameLower,1.0,-2.56728119147247,0.25,1.0,NA,NA,NA,NA,1.0,-2.56728119147247,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
g,e,x,h,gLetter,https://storage.googleapis.com/roar-ak/en/shared/gLetter.mp3,letterNameLower,1.0,-2.10818112712959,0.25,1.0,NA,NA,NA,NA,1.0,-2.10818112712959,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h,u,g,w,hLetter,https://storage.googleapis.com/roar-ak/en/shared/hLetter.mp3,letterNameLower,1.0,-2.19511664633396,0.25,1.0,NA,NA,NA,NA,1.0,-2.19511664633396,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
