"identifier","label","en","es-CO","de","fr-CA","nl","en-GH","de-CH","es-AR"
"components/participant-sidebar.grade","","Grade","Grado","Klasse","Classe","Cijfer","Grade","Klasse","Grado"
"components/participant-sidebar.studentInfo","","Participant Info","Información del estudiante","Schülerinformationen","Informations sur le participant","Deelnemer Info","Participant Info","Schülerinformationen","Información del estudiante"
"components/participant-sidebar.tasksCompleted","","tasks completed!","¡tareas completadas!","Aufgaben abgeschlossen!","tâches complétées!","taken voltooid!","tasks completed!","Aufgaben abgeschlossen!","¡tareas completadas!"
